timestamp,free (mebibytes),used (mebibytes),cached (mebibytes),buffers (mebibytes),anomaly%,annotations
1781908635000,497.3972656,1385.1886719,1944.035612,41.4369954,-,-
1781908686000,505.0345964,1376.8291667,1944.5354167,41.6594206,-,-
1781908737000,475.3844271,1406.0102865,1944.794401,41.869541,-,-
1781908788000,505.8710286,1375.1601562,1944.9860938,42.0413281,-,-
1781908839000,511.5974284,1363.6420443,1950.5802604,42.2388607,-,-
1781908890000,516.1834635,1345.3971354,1963.9235677,42.5544596,-,-
1781908941000,492.2617253,1358.4619596,1974.3219531,43.0129753,-,-
1781908992000,426.7514063,1423.3175781,1974.4967188,43.4928385,-,-
1781909043000,387.5211979,1462.5871875,1974.2183008,43.7319076,-,-
1781909094000,416.6576042,1444.3622135,1963.103112,43.9356641,-,-
1781909145000,467.0315104,1402.0121419,1954.8244466,44.190446,-,-
1781909196000,471.251224,1394.5300781,1957.8284375,44.4488281,-,-
1781909247000,459.6738639,1402.0775716,1961.6150521,44.6920768,-,-
1781909298000,464.1133138,1396.9663021,1962.0704427,44.9085286,-,-
1781909349000,491.3881543,1369.0465755,1962.5286523,45.095332,-,-
1781909400000,523.2823568,1336.6091146,1962.8990885,45.268099,-,-
1781909451000,551.5445247,1300.9702083,1970.0642122,45.4797135,-,-
1781909502000,528.139082,1316.5711198,1977.6192578,45.7291536,-,-
1781909553000,494.3148112,1347.2386068,1980.5485547,45.9566569,-,-
1781909604000,458.7364063,1382.1684896,1980.9845573,46.1692057,-,-
1781909655000,437.1596517,1403.0924154,1981.4356445,46.370931,-,-
1781909706000,458.9158594,1380.060013,1982.5297135,46.5530013,-,-
1781909757000,510.9078581,1320.6373763,1989.7018099,46.8114876,-,-
1781909808000,504.2473047,1319.5081771,1997.2647396,47.0383594,-,-
1781909859000,512.7929297,1308.650599,1999.3523177,47.2627474,-,-
1781909910000,524.302832,1296.4388021,1999.8169922,47.4999349,-,-
1781909961000,518.9855273,1301.0128776,2000.3273307,47.732793,-,-
1781910012000,508.7565365,1311.8058333,1999.5404427,47.9557292,-,-
1781910063000,548.1750391,1277.2768099,1994.396569,48.210179,-,-
1781910114000,535.1490104,1297.6367448,1986.7834245,48.4894727,-,-
1781910165000,513.8221517,1319.577832,1985.635026,49.0235514,-,-
1781910216000,524.8758984,1308.0402865,1985.7998438,49.3425,-,-
1781910267000,535.9587663,1296.3807227,1986.1430143,49.5760547,-,-
1781910318000,537.6675781,1291.6575781,1988.8753255,49.8580924,-,-
1781910369000,540.2502702,1281.5458984,1996.0796745,50.1827148,-,-
1781910420000,521.2205078,1292.7674479,2003.6395833,50.4311849,-,-
1781910471000,537.2494824,1276.1337891,2004.0589388,50.616403,-,-
1781910522000,522.4161133,1290.4371224,2004.4236068,50.7817057,-,-
