timestamp,Dirty (mebibytes),Writeback (mebibytes),anomaly%,annotations
1781913837000,7.0712272,0.0001563,-,-
1781913888000,1.8186328,0.0001823,-,-
1781913939000,0.5248763,0.0000684,-,-
1781913990000,0.4670247,0,-,-
1781914041000,3.4415723,0,-,-
1781914092000,7.3534635,0,-,-
1781914143000,0.3722233,0,-,-
1781914194000,0.3405143,0,-,-
1781914245000,2.9369792,0,-,-
1781914296000,1.6035547,0.0009766,-,-
1781914347000,4.1955143,0.0008952,-,-
1781914398000,6.4916927,0,-,-
1781914449000,0.2939681,0,-,-
1781914500000,0.4040365,0,-,-
1781914551000,0.3167676,0,-,-
1781914602000,0.3854492,0,-,-
1781914653000,5.5047591,0,-,-
1781914704000,6.0210938,0,-,-
1781914755000,0.5133952,0,-,-
1781914806000,0.4046549,0.000013,-,-
1781914857000,0.5930827,0.0001237,-,-
1781914908000,0.4105729,0.0000781,-,-
1781914959000,6.297487,0.0004883,-,-
1781915010000,5.468099,0.0003581,-,-
1781915061000,1.0206315,0,-,-
1781915112000,0.264388,0,-,-
1781915163000,0.3738574,0,-,-
1781915214000,0.3488997,0,-,-
1781915265000,7.1724284,0,-,-
1781915316000,3.9919401,0.0000391,-,-
1781915367000,0.3389193,0.0000358,-,-
1781915418000,0.3647852,0,-,-
